issue_number,issue_title,issue_body_md,issue_body_plain,issue_created_at,issue_author_id,issue_author_association,issue_label_ids,pull_number,pull_created_at,pull_merged_at,pull_comments,pull_review_comments,pull_commits,pull_additions,pull_deletions,pull_changed_files
239,"make test executes ""all"" target and rebuilds everything","Hi,

First, I'm no Makefile expert so I might miss something here.

When I execute `make test`, it rebuilds everything. My use case is that my package manager differentiate compilation from tests and executes both (`make` and then `make test`). The binary compilation happens twice which is kinda a waste of time.

I wanted to know if that's normal or if that's something that can be improved (and how ?).

Thanks !
","Hi,
First, I'm no Makefile expert so I might miss something here.
When I execute make test, it rebuilds everything. My use case is that my package manager differentiate compilation from tests and executes both (make and then make test). The binary compilation happens twice which is kinda a waste of time.
I wanted to know if that's normal or if that's something that can be improved (and how ?).
Thanks !",1462968460,6098160,6,,241,1463165168,1463525688,1,0,2,3,1,2
260,UpdateResource integer fields should be 64bits long,"The integer types are all `uint32` atm (see [here](https://github.com/docker/containerd/blob/16a8dfe6a8f711532b72226173cb66af7a9b2522/api/grpc/types/api.proto#L191-203)), limiting available range on `64bits` platforms.

This will be a breaking API change though
","The integer types are all uint32 atm (see here), limiting available range on 64bits platforms.
This will be a breaking API change though",1465320394,16065150,1,,265,1465677893,1465840752,3,0,1,200,187,3
275,File descriptor leak on init/control,"Running docker 1.11, we found a file-descriptor leak.  Some or all (unclear) terminated containers leave behind and open fd in container for `/run/containerd/.../init/control`

```
# ls -l /proc/*/fd/ | grep deleted
lrwx------ 1 root root 64 Jun 28 00:44 39 -> /run/containerd/9dde41ecbdefee15d9681a8da419015a3160faef45eebf543ec2bcabcb1bcd42/init/control (deleted)
lrwx------ 1 root root 64 Jun 28 00:44 43 -> /run/containerd/7ca8ac8dad282a505ccc7b3fc643985879530a71efdb487e26e2a7e0f8b4fd1b/init/control (deleted)
lrwx------ 1 root root 64 Jun 28 01:00 76 -> /run/containerd/094b11fdfb0bbc782319483335bd3f736291b303f436421127d4b91cd879095e/init/control (deleted)
lrwx------ 1 root root 64 Jun 28 01:00 77 -> /run/containerd/cb469696a72c151a4da143fa6a2f820c5b5ce146005cc56eaddd6fd1b0ca567b/init/control (deleted)
lrwx------ 1 root root 64 Jun 28 01:00 78 -> /run/containerd/fbec2b08ce946b0d48c4682afeeb1638e82779c45683eb6a0e34590cca355151/init/control (deleted)
lrwx------ 1 root root 64 Jun 28 01:00 79 -> /run/containerd/9684f7fa8c1fe008e6b4ec3477779e799cb1d0140a087207b0e2909793f8456a/init/control (deleted)
lrwx------ 1 root root 64 Jun 28 01:00 80 -> /run/containerd/f5a1df76401f2e03b84d8676140b4b16a3294b00aeae751fc4576f23a7ab4d2b/init/control (deleted)
lrwx------ 1 root root 64 Jun 28 01:00 81 -> /run/containerd/c083111aff56cc412443777bf58f3b5513b93b6dddc23b40c8ca06cd3e7a070b/init/control (deleted)
lrwx------ 1 root root 64 Jun 28 01:00 82 -> /run/containerd/47a9f4ada17aba758a8a8c2f361317125d49919f7274ab4a645e67dbf7544752/init/control (deleted)
lrwx------ 1 root root 64 Jun 28 01:00 83 -> /run/containerd/fda8ebb0c3401320d6b737786cdd4c2c1f7f8389b6f5323b44261f6330bd7f55/init/control (deleted)
lrwx------ 1 root root 64 Jun 28 01:00 84 -> /run/containerd/756aa08e453c9c5d1ed4d107d5926668d6b58dccb948eb6052ea362b729b3f65/init/control (deleted)
lrwx------ 1 root root 64 Jun 28 01:00 85 -> /run/containerd/d1d275afac8d7914b5064756ca0a1e02db7fc9be3c97811c78acd73199233c77/init/control (deleted)
lrwx------ 1 root root 64 Jun 28 01:00 86 -> /run/containerd/7c092b5da735365959760019bc7a8f215ea631fcef0186139ca275ee846d605b/init/control (deleted)
lrwx------ 1 root root 64 Jun 28 01:00 87 -> /run/containerd/a49e4727a6ed4b68db0cf686a04c95597921b91ab230b632c36b9004dcda1d11/init/control (deleted)
```

@dchen1107
","Running docker 1.11, we found a file-descriptor leak.  Some or all (unclear) terminated containers leave behind and open fd in container for /run/containerd/.../init/control
```
ls -l /proc/*/fd/ | grep deleted
lrwx------ 1 root root 64 Jun 28 00:44 39 -> /run/containerd/9dde41ecbdefee15d9681a8da419015a3160faef45eebf543ec2bcabcb1bcd42/init/control (deleted)
lrwx------ 1 root root 64 Jun 28 00:44 43 -> /run/containerd/7ca8ac8dad282a505ccc7b3fc643985879530a71efdb487e26e2a7e0f8b4fd1b/init/control (deleted)
lrwx------ 1 root root 64 Jun 28 01:00 76 -> /run/containerd/094b11fdfb0bbc782319483335bd3f736291b303f436421127d4b91cd879095e/init/control (deleted)
lrwx------ 1 root root 64 Jun 28 01:00 77 -> /run/containerd/cb469696a72c151a4da143fa6a2f820c5b5ce146005cc56eaddd6fd1b0ca567b/init/control (deleted)
lrwx------ 1 root root 64 Jun 28 01:00 78 -> /run/containerd/fbec2b08ce946b0d48c4682afeeb1638e82779c45683eb6a0e34590cca355151/init/control (deleted)
lrwx------ 1 root root 64 Jun 28 01:00 79 -> /run/containerd/9684f7fa8c1fe008e6b4ec3477779e799cb1d0140a087207b0e2909793f8456a/init/control (deleted)
lrwx------ 1 root root 64 Jun 28 01:00 80 -> /run/containerd/f5a1df76401f2e03b84d8676140b4b16a3294b00aeae751fc4576f23a7ab4d2b/init/control (deleted)
lrwx------ 1 root root 64 Jun 28 01:00 81 -> /run/containerd/c083111aff56cc412443777bf58f3b5513b93b6dddc23b40c8ca06cd3e7a070b/init/control (deleted)
lrwx------ 1 root root 64 Jun 28 01:00 82 -> /run/containerd/47a9f4ada17aba758a8a8c2f361317125d49919f7274ab4a645e67dbf7544752/init/control (deleted)
lrwx------ 1 root root 64 Jun 28 01:00 83 -> /run/containerd/fda8ebb0c3401320d6b737786cdd4c2c1f7f8389b6f5323b44261f6330bd7f55/init/control (deleted)
lrwx------ 1 root root 64 Jun 28 01:00 84 -> /run/containerd/756aa08e453c9c5d1ed4d107d5926668d6b58dccb948eb6052ea362b729b3f65/init/control (deleted)
lrwx------ 1 root root 64 Jun 28 01:00 85 -> /run/containerd/d1d275afac8d7914b5064756ca0a1e02db7fc9be3c97811c78acd73199233c77/init/control (deleted)
lrwx------ 1 root root 64 Jun 28 01:00 86 -> /run/containerd/7c092b5da735365959760019bc7a8f215ea631fcef0186139ca275ee846d605b/init/control (deleted)
lrwx------ 1 root root 64 Jun 28 01:00 87 -> /run/containerd/a49e4727a6ed4b68db0cf686a04c95597921b91ab230b632c36b9004dcda1d11/init/control (deleted)
```
@dchen1107",1467075714,5595220,6,,276,1467097885,1467743107,2,3,1,5,1,1
310,Killing restored redis container leaves bad state,"I created a redis container (from current master), checkpointed it (and exited), then restored from that checkpoint, and tried to kill the new container. The kill reports no errors, but subsequently listing containers reports this error:

```
[ctr] rpc error: code = 13 desc = get all pids for container: exit status 1: ""open /run/runc/red-restore-test/state.json: no such file or directory\n""
```

First noticed by @crosbymichael in https://github.com/docker/docker/pull/22049

Here's the full steps to repro (assuming you have a redis container at /redis):

```
$ ctr containers start redis-1 /redis

$ ctr checkpoints create --exit=true redis-1 checkpoint-1

$ ctr containers start --checkpoint-dir=/redis/checkpoints --checkpoint=checkpoint-1 redis-2 /redis

$ ctr containers kill redis-2

$ ctr containers
```

Running `ps` you can see that the redis process has been killed, but a `containerd-shim` process is left running still.

If you manually kill the running `containerd-shim` process, containerd correctly cleans up the state and listing containers works again.
","I created a redis container (from current master), checkpointed it (and exited), then restored from that checkpoint, and tried to kill the new container. The kill reports no errors, but subsequently listing containers reports this error:
[ctr] rpc error: code = 13 desc = get all pids for container: exit status 1: ""open /run/runc/red-restore-test/state.json: no such file or directory\n""
First noticed by @crosbymichael in https://github.com/docker/docker/pull/22049
Here's the full steps to repro (assuming you have a redis container at /redis):
```
$ ctr containers start redis-1 /redis
$ ctr checkpoints create --exit=true redis-1 checkpoint-1
$ ctr containers start --checkpoint-dir=/redis/checkpoints --checkpoint=checkpoint-1 redis-2 /redis
$ ctr containers kill redis-2
$ ctr containers
```
Running ps you can see that the redis process has been killed, but a containerd-shim process is left running still.
If you manually kill the running containerd-shim process, containerd correctly cleans up the state and listing containers works again.",1472567567,22065,1,,312,1473185664,1473265597,1,0,1,1,0,1
318,use uint32 for process exit status,"Currently, the event code has a duplicated `Event` type defined that slightly differs from the one used by the grpc api: it has `Status int` instead of `Status uint32`

We should sync the 2 structs to avoid  `-1` values becoming `4294967295`

Using `types.Event` directly is a bit annoying giving that it is using a `protobuf.timestamp` type. This would require extra conversion that could possibly fail. Atm this conversion is only needed in one place. 
","Currently, the event code has a duplicated Event type defined that slightly differs from the one used by the grpc api: it has Status int instead of Status uint32
We should sync the 2 structs to avoid  -1 values becoming 4294967295
Using types.Event directly is a bit annoying giving that it is using a protobuf.timestamp type. This would require extra conversion that could possibly fail. Atm this conversion is only needed in one place. ",1474308955,16065150,1,,319,1474311712,1474316195,1,0,1,26,20,6
344,Fix the error check in Delete method,"we should check the `derr` at here, not the `err`.

Signed-off-by: Wang Long <long.wanglong@huawei.com>","we should check the derr at here, not the err.
Signed-off-by: Wang Long long.wanglong@huawei.com",1478589303,1785993,1,,354,1479407071,1479421475,1,0,1,1,1,1
356,ctr /tmp is full,"I use `ctr containers exec` to start a process in a running container. When the process is exited it leaves a directory in /tmp named ctr-* . Inside there are some named pipes for stdin, stdout and stderr.

If you start a lot of process /tmp can easily be full with these files and the system can be unstable. I'm trying to find a workaround to delete these from my scripts, but I can't be sure which directory is created by which process.

I have ""ctr version 0.2.2 commit: v0.2.2"".","I use ctr containers exec to start a process in a running container. When the process is exited it leaves a directory in /tmp named ctr-* . Inside there are some named pipes for stdin, stdout and stderr.
If you start a lot of process /tmp can easily be full with these files and the system can be unstable. I'm trying to find a workaround to delete these from my scripts, but I can't be sure which directory is created by which process.
I have ""ctr version 0.2.2 commit: v0.2.2"".",1479974866,3075945,6,,358,1480350552,1480356185,1,0,1,11,11,1
381,master branch unusable w/o vendors,"trying to build containerd getting vendors with `go get -d ./...` is practically unusable. On Fedora 25 I'm also getting weird btrfs failures tied probably to a specific btrfs-progs-devel library:
```
$ make build
🐳 build
github.com/docker/containerd/api/execution
github.com/docker/containerd/bundle
github.com/docker/containerd/cmd/protoc-gen-gogoctrd
github.com/docker/containerd/content
# github.com/docker/containerd/cmd/protoc-gen-gogoctrd
cmd/protoc-gen-gogoctrd/main.go:12: undefined: vanity.NotGoogleProtobufDescriptorProto
github.com/docker/containerd/gc
github.com/stevvooe/go-btrfs
github.com/docker/containerd/specification
# github.com/docker/containerd/api/execution
api/execution/execution.pb.go:65: undefined: proto.GoGoProtoPackageIsVersion2
api/execution/execution.pb.go:620: undefined: grpc.SupportPackageIsVersion4
api/execution/execution.pb.go:787: undefined: grpc.UnaryServerInterceptor
api/execution/execution.pb.go:805: undefined: grpc.UnaryServerInterceptor
api/execution/execution.pb.go:823: undefined: grpc.UnaryServerInterceptor
api/execution/execution.pb.go:841: undefined: grpc.UnaryServerInterceptor
api/execution/execution.pb.go:859: undefined: grpc.UnaryServerInterceptor
api/execution/execution.pb.go:877: undefined: grpc.UnaryServerInterceptor
api/execution/execution.pb.go:895: undefined: grpc.UnaryServerInterceptor
api/execution/execution.pb.go:913: undefined: grpc.UnaryServerInterceptor
api/execution/execution.pb.go:913: too many errors
github.com/docker/containerd/sys
# github.com/docker/containerd/specification
specification/spec.go:32: undefined: specs.LinuxResources
specification/spec.go:40: undefined: specs.LinuxNamespace
# github.com/stevvooe/go-btrfs
../../stevvooe/go-btrfs/btrfs.go:308: args.name undefined (type C.struct_btrfs_ioctl_vol_args_v2 has no field or method name)
Makefile:84: recipe for target 'build' failed
make: *** [build] Error 2
```","trying to build containerd getting vendors with go get -d ./... is practically unusable. On Fedora 25 I'm also getting weird btrfs failures tied probably to a specific btrfs-progs-devel library:
```
$ make build
🐳 build
github.com/docker/containerd/api/execution
github.com/docker/containerd/bundle
github.com/docker/containerd/cmd/protoc-gen-gogoctrd
github.com/docker/containerd/content
github.com/docker/containerd/cmd/protoc-gen-gogoctrd
cmd/protoc-gen-gogoctrd/main.go:12: undefined: vanity.NotGoogleProtobufDescriptorProto
github.com/docker/containerd/gc
github.com/stevvooe/go-btrfs
github.com/docker/containerd/specification
github.com/docker/containerd/api/execution
api/execution/execution.pb.go:65: undefined: proto.GoGoProtoPackageIsVersion2
api/execution/execution.pb.go:620: undefined: grpc.SupportPackageIsVersion4
api/execution/execution.pb.go:787: undefined: grpc.UnaryServerInterceptor
api/execution/execution.pb.go:805: undefined: grpc.UnaryServerInterceptor
api/execution/execution.pb.go:823: undefined: grpc.UnaryServerInterceptor
api/execution/execution.pb.go:841: undefined: grpc.UnaryServerInterceptor
api/execution/execution.pb.go:859: undefined: grpc.UnaryServerInterceptor
api/execution/execution.pb.go:877: undefined: grpc.UnaryServerInterceptor
api/execution/execution.pb.go:895: undefined: grpc.UnaryServerInterceptor
api/execution/execution.pb.go:913: undefined: grpc.UnaryServerInterceptor
api/execution/execution.pb.go:913: too many errors
github.com/docker/containerd/sys
github.com/docker/containerd/specification
specification/spec.go:32: undefined: specs.LinuxResources
specification/spec.go:40: undefined: specs.LinuxNamespace
github.com/stevvooe/go-btrfs
../../stevvooe/go-btrfs/btrfs.go:308: args.name undefined (type C.struct_btrfs_ioctl_vol_args_v2 has no field or method name)
Makefile:84: recipe for target 'build' failed
make: *** [build] Error 2
```",1481844092,849915,1,,390,1481907988,1484173017,25,7,2,113563,1,408
416,busybox shell container does not exit with ^D (but exits with `exit`),"When I type `exit` in a busybox shell container, it exits as expected, and the exit event can be received via `ctr events`.

```console
$ sudo ctr --debug run --tty -b ~/tmp/busybox foo
/ # exit
exit
```

However, when I type ^D (Ctrl-D) instead of `exit`, it just hangs up. No exit event can be received via `ctr events`.

* containerd version: master plus some vendoring ( https://github.com/docker/containerd/pull/415 )
* runc version: 1.0.0-rc2
* OCI bundle: created as described in https://github.com/opencontainers/runc#creating-an-oci-bundle
","When I type exit in a busybox shell container, it exits as expected, and the exit event can be received via ctr events.
console
$ sudo ctr --debug run --tty -b ~/tmp/busybox foo
/ # exit
exit
However, when I type ^D (Ctrl-D) instead of exit, it just hangs up. No exit event can be received via ctr events.

containerd version: master plus some vendoring ( https://github.com/docker/containerd/pull/415 )
runc version: 1.0.0-rc2
OCI bundle: created as described in https://github.com/opencontainers/runc#creating-an-oci-bundle
",1484210879,9248427,5,,418,1484249956,1484250704,1,0,1,17,0,1
383,Request for doc: process lifetime and relationship to containers,"I think we need a really clear doc that details which processes in a containerd system run as literal daemons, what those daemons are responsible for, how they communicate with each other, and what happens when they crash.

For example, which process holds the stdin/stdout FDs open?  What happens if containerd crashes?  How insulated are my containers lifetimes from the containerd system?","I think we need a really clear doc that details which processes in a containerd system run as literal daemons, what those daemons are responsible for, how they communicate with each other, and what happens when they crash.
For example, which process holds the stdin/stdout FDs open?  What happens if containerd crashes?  How insulated are my containers lifetimes from the containerd system?",1481860969,5595220,6,347599654,437,1484682241,1485547434,2,7,1,14,0,1
